Timestamp_Beijing,HR,GSR
'2026-03-13 15:30:21,71,101
'2026-03-13 15:30:22,71,101
'2026-03-13 15:30:22,71,100
'2026-03-13 15:30:22,71,99
'2026-03-13 15:30:22,71,100
'2026-03-13 15:30:22,70,102
'2026-03-13 15:30:23,70,102
'2026-03-13 15:30:23,70,102
'2026-03-13 15:30:23,70,103
'2026-03-13 15:30:23,70,104
'2026-03-13 15:30:23,70,104
'2026-03-13 15:30:24,70,104
'2026-03-13 15:30:24,70,104
'2026-03-13 15:30:24,71,105
'2026-03-13 15:30:24,71,104
'2026-03-13 15:30:24,71,104
'2026-03-13 15:30:25,71,105
'2026-03-13 15:30:25,71,106
'2026-03-13 15:30:25,71,106
'2026-03-13 15:30:25,71,105
'2026-03-13 15:30:26,71,105
'2026-03-13 15:30:26,71,106
'2026-03-13 15:30:26,71,106
'2026-03-13 15:30:26,71,105
'2026-03-13 15:30:26,71,106
'2026-03-13 15:30:27,70,105
'2026-03-13 15:30:27,70,106
'2026-03-13 15:30:27,70,106
'2026-03-13 15:30:27,70,106
'2026-03-13 15:30:27,71,105
'2026-03-13 15:30:28,71,105
'2026-03-13 15:30:28,71,105
'2026-03-13 15:30:28,71,104
'2026-03-13 15:30:28,71,105
'2026-03-13 15:30:28,71,104
'2026-03-13 15:30:29,71,105
'2026-03-13 15:30:29,71,104
'2026-03-13 15:30:29,71,104
'2026-03-13 15:30:29,71,104
'2026-03-13 15:30:29,71,104
'2026-03-13 15:30:30,71,104
'2026-03-13 15:30:30,72,104
'2026-03-13 15:30:30,72,103
'2026-03-13 15:30:30,72,102
'2026-03-13 15:30:30,74,103
'2026-03-13 15:30:31,74,102
'2026-03-13 15:30:31,74,102
'2026-03-13 15:30:31,74,102
'2026-03-13 15:30:31,76,102
'2026-03-13 15:30:31,76,102
'2026-03-13 15:30:32,76,102
'2026-03-13 15:30:32,76,102
'2026-03-13 15:30:32,74,103
'2026-03-13 15:30:32,74,103
'2026-03-13 15:30:32,74,102
'2026-03-13 15:30:33,74,102
'2026-03-13 15:30:33,74,102
'2026-03-13 15:30:33,73,103
'2026-03-13 15:30:33,73,102
'2026-03-13 15:30:34,73,102
'2026-03-13 15:30:34,73,102
'2026-03-13 15:30:34,73,102
'2026-03-13 15:30:34,73,102
'2026-03-13 15:30:34,73,101
'2026-03-13 15:30:35,73,100
'2026-03-13 15:30:35,74,100
'2026-03-13 15:30:35,74,100
'2026-03-13 15:30:35,74,100
'2026-03-13 15:30:35,74,99
'2026-03-13 15:30:36,73,100
'2026-03-13 15:30:36,73,100
'2026-03-13 15:30:36,73,100
'2026-03-13 15:30:36,73,99
'2026-03-13 15:30:36,73,100
'2026-03-13 15:30:37,72,100
'2026-03-13 15:30:37,72,100
'2026-03-13 15:30:37,72,99
'2026-03-13 15:30:37,72,99
'2026-03-13 15:30:37,72,99
'2026-03-13 15:30:38,72,99
'2026-03-13 15:30:38,73,98
'2026-03-13 15:30:38,73,99
'2026-03-13 15:30:38,73,99
'2026-03-13 15:30:38,76,99
'2026-03-13 15:30:39,76,98
'2026-03-13 15:30:39,77,99
'2026-03-13 15:30:39,77,99
'2026-03-13 15:30:39,84,99
'2026-03-13 15:30:39,92,98
'2026-03-13 15:30:40,102,100
'2026-03-13 15:30:40,102,99
'2026-03-13 15:30:40,113,98
'2026-03-13 15:30:40,129,98
'2026-03-13 15:30:41,150,100
'2026-03-13 15:30:41,150,99
'2026-03-13 15:30:41,150,98
'2026-03-13 15:30:41,155,98
'2026-03-13 15:30:41,155,98
'2026-03-13 15:30:42,167,97
'2026-03-13 15:30:42,167,94
'2026-03-13 15:30:42,163,93
