Timestamp,Event_Time,Event,Content
15:26:46,143.7485,EyeGaze,right_exit_Window middle
15:26:47,144.0151,EyeGaze,right_enter_PFD speed
15:26:47,144.1958,EVENTCODE,VARY_SPEED
15:26:47,144.5014,EyeGaze,left_exit_PFD speed
15:26:47,144.5286,EyeGaze,left_enter_PFD altitude
15:26:50,147.3009,EVENTCODE,VARY_SPEED
15:26:54,151.5064,EVENTCODE,VARY_SPEED
15:26:54,151.5884,SPEECH,
15:26:59,155.987,EVENTCODE,VARY_SPEED
15:27:00,157.559,EyeGaze,right_exit_PFD altitude
15:27:01,157.823,EyeGaze,right_enter_PFD altitude
15:27:02,159.7738,EVENTCODE,VARY_SPEED
15:27:04,161.78,WAYPOINT,PK731
15:27:05,162.0419,EyeGaze,right_exit_Window middle
15:27:05,162.1948,EyeGaze,right_enter_Window middle
15:27:06,162.9054,EyeGaze,right_exit_Window middle
15:27:06,163.1849,EyeGaze,right_enter_Exterior light
15:27:06,163.2379,EyeGaze,right_exit_Exterior light
15:27:06,163.2524,EyeGaze,right_enter_Exterior light
15:27:06,163.3678,EVENTCODE,VARY_SPEED
15:27:06,163.4185,EyeGaze,right_exit_Exterior light
15:27:07,163.8664,EyeGaze,right_enter_Exterior light
15:27:09,166.5802,SPEECH,
15:27:10,166.9948,EyeGaze,left_exit_ND left
15:27:10,167.0091,EyeGaze,left_enter_Window middle
15:27:11,167.8466,EyeGaze,right_exit_ND right
15:27:11,167.9725,EyeGaze,right_enter_FMC
15:27:11,168.2651,EVENTCODE,VARY_SPEED
15:27:15,172.2052,EVENTCODE,VARY_SPEED
15:27:18,175.5891,EVENTCODE,VARY_SPEED
15:27:19,175.9767,EyeGaze,right_exit_PFD altitude
15:27:19,176.2989,EyeGaze,right_enter_PFD altitude
15:27:19,176.7014,EyeGaze,right_exit_PFD speed
15:27:19,176.7153,EyeGaze,right_enter_ND right
15:27:20,177.7043,EyeGaze,right_exit_PFD speed
15:27:23,179.9618,EyeGaze,right_enter_Window middle
15:27:23,179.974,EVENTCODE,VARY_SPEED
15:27:24,181.5777,SPEECH,
15:27:27,183.8173,EVENTCODE,VARY_SPEED
15:27:28,185.1379,EyeGaze,left_exit_FMC
15:27:29,186.2639,EyeGaze,left_enter_Flaps
15:27:30,186.8891,EyeGaze,right_exit_Flaps
15:27:30,186.9018,EyeGaze,right_enter_Flaps
15:27:30,186.9188,EyeGaze,right_exit_Flaps
15:27:30,186.9307,EyeGaze,right_enter_Flaps
15:27:30,187.0691,EVENTCODE,VARY_SPEED
15:27:32,189.0777,EyeGaze,left_exit_Flaps
15:27:32,189.0896,EyeGaze,left_enter_FMC
15:27:32,189.16,EyeGaze,left_exit_FMC
15:27:32,189.1867,EyeGaze,left_enter_PFD speed
15:27:33,190.0655,EyeGaze,right_exit_Flaps
15:27:33,190.0911,EyeGaze,right_enter_FMC
15:27:33,190.2023,EyeGaze,right_exit_PFD altitude
15:27:33,190.6215,EVENTCODE,VARY_SPEED
15:27:33,190.6921,EyeGaze,right_enter_PFD altitude
15:27:33,190.7602,EyeGaze,right_exit_PFD speed
15:27:34,190.8017,EyeGaze,right_enter_FMC
15:27:35,192.7358,EyeGaze,right_exit_FMC
15:27:36,193.0716,EyeGaze,right_enter_ND right
15:27:37,194.327,EVENTCODE,VARY_SPEED
15:27:39,196.7602,SPEECH,
15:27:41,198.155,EVENTCODE,VARY_SPEED
15:27:44,201.3115,EVENTCODE,VARY_SPEED
15:27:48,204.807,EyeGaze,right_exit_ND right
15:27:48,205.0047,EyeGaze,right_enter_ND right
15:27:48,205.0297,EVENTCODE,VARY_SPEED
15:27:48,205.3087,EyeGaze,right_exit_ND right
15:27:48,205.419,EyeGaze,right_enter_ND right
15:27:48,205.516,EyeGaze,right_exit_ND right
15:27:48,205.5881,EyeGaze,right_enter_ND right
15:27:48,205.7401,EyeGaze,right_exit_ND right
15:27:49,205.9054,EyeGaze,right_enter_ND right
15:27:49,205.9283,EyeGaze,right_exit_ND right
15:27:49,206.0468,EyeGaze,right_enter_ND right
15:27:49,206.1004,EyeGaze,right_exit_ND right
15:27:52,209.0659,EVENTCODE,VARY_SPEED
15:27:53,210.0412,EyeGaze,right_enter_PFD speed
15:27:54,211.5717,SPEECH,
15:27:56,213.0205,EVENTCODE,VARY_SPEED
15:27:57,213.8009,EyeGaze,right_exit_PFD altitude
15:27:57,213.8141,EyeGaze,right_enter_PFD speed
15:27:58,214.9005,EyeGaze,right_exit_PFD speed
15:27:58,214.9261,EyeGaze,right_enter_ND right
15:28:00,217.1428,EVENTCODE,VARY_SPEED
15:28:03,220.62,WAYPOINT,WAYBI
15:28:04,221.7656,EyeGaze,right_exit_PFD speed
15:28:05,221.8182,EyeGaze,right_enter_ND right
15:28:05,221.8479,EVENTCODE,VARY_SPEED
15:28:08,225.0393,EVENTCODE,MAIN_AUDIO_END
15:28:08,225.0521,EVENTCODE,VARY_SPEED
15:28:09,226.5693,SPEECH,
15:28:10,226.8326,EyeGaze,left_exit_Window right
15:28:10,226.9444,EyeGaze,left_enter_Window right
15:28:10,227.0276,EyeGaze,left_exit_Window right
15:28:10,227.0691,EyeGaze,left_enter_Window right
15:28:10,227.1,EyeGaze,left_exit_Window right
15:28:12,228.9088,EVENTCODE,VARY_SPEED
15:28:12,229.34,EyeGaze,left_enter_Window right
15:28:12,229.3687,EyeGaze,left_exit_Window right
15:28:12,229.3834,EyeGaze,left_enter_Window right
15:28:12,229.3959,EyeGaze,left_exit_Window right
15:28:12,229.41,EyeGaze,left_enter_Window right
15:28:12,229.4644,EyeGaze,left_exit_Window right
15:28:12,229.4781,EyeGaze,left_enter_Window right
15:28:12,229.4942,EyeGaze,left_exit_Window right
15:28:12,229.5087,EyeGaze,left_enter_Window right
15:28:12,229.6873,EyeGaze,left_exit_Window right
15:28:13,230.0082,EyeGaze,left_enter_Window right
15:28:13,230.2986,EyeGaze,left_exit_Window right
15:28:14,231.0499,SPEECH,Busan Tower Singapore 616 runway and.
15:28:14,231.0646,EVENTCODE,PLAYER_RESPONSE_PASS
15:28:15,232.205,EVENTCODE,VARY_SPEED
15:28:15,232.4265,SPEECH,Site joining down wing.
15:28:16,233.027,EyeGaze,left_enter_PFD altitude
15:28:16,233.027,EyeGaze,right_exit_Window right
15:28:16,233.7632,EyeGaze,right_enter_Window middle
15:28:19,236.089,EVENTCODE,VARY_SPEED
15:28:20,236.9358,EyeGaze,left_exit_ND right
15:28:20,236.9779,EyeGaze,left_enter_PFD altitude
15:28:20,237.5217,EyeGaze,left_exit_PFD altitude
15:28:20,237.5771,EyeGaze,left_enter_Window right
15:28:20,237.6883,EyeGaze,left_exit_Window right
15:28:21,237.7994,EyeGaze,left_enter_Window right
15:28:23,239.9194,EVENTCODE,MAIN_AUDIO_END
15:28:23,240.196,EyeGaze,right_exit_PFD speed
15:28:23,240.3653,EVENTCODE,VARY_SPEED
15:28:25,241.8683,EyeGaze,right_enter_Window middle
15:28:28,244.9971,EyeGaze,right_exit_ND right
15:28:28,245.0809,EVENTCODE,VARY_SPEED
15:28:28,245.1664,EyeGaze,right_enter_PFD altitude
